iter	Passed	Remaining
0	0	97
1	1	94
2	2	91
3	3	85
4	4	83
5	5	82
6	6	82
7	7	81
8	7	80
9	8	79
10	9	78
11	10	77
12	11	75
13	12	74
14	12	73
15	13	72
16	14	71
17	15	71
18	16	70
19	17	69
20	18	68
21	18	67
22	19	66
23	20	65
24	21	64
25	22	63
26	23	62
27	23	61
28	24	60
29	25	59
30	26	58
31	27	57
32	28	56
33	28	55
34	29	55
35	30	54
36	31	53
37	32	52
38	33	51
39	33	50
40	34	49
41	35	48
42	35	47
43	36	46
44	37	45
45	38	44
46	39	44
47	39	43
48	40	42
49	41	41
50	42	40
51	42	39
52	43	38
53	44	37
54	45	36
55	46	36
56	46	35
57	47	34
58	48	33
59	49	32
60	50	32
61	51	31
62	51	30
63	52	29
64	53	28
65	54	28
66	55	27
67	56	26
68	56	25
69	57	24
70	58	23
71	59	23
72	60	22
73	61	21
74	61	20
75	62	19
76	63	18
77	64	18
78	65	17
79	66	16
80	67	15
81	67	14
82	68	14
83	69	13
84	70	12
85	71	11
86	72	10
87	73	9
88	73	9
89	74	8
90	75	7
91	76	6
92	77	5
93	78	4
94	79	4
95	80	3
96	80	2
97	81	1
98	82	0
99	83	0
